gene	chr	pos	fdr
GH_A01G0070	A01	555906	0.696384874186237
GH_A01G0071	A01	559187	0.662549856734703
GH_A01G0090	A01	724885	0.462551710095732
GH_A01G0105	A01	813982	0.715146592755643
GH_A01G0109	A01	861138	0.385958626964949
GH_A01G0110	A01	864454	0.545869903706961
GH_A01G0120	A01	907655	0.537859225532145
GH_A01G0129	A01	976181	0.4062585553544
GH_A01G0157	A01	1337162	0.390563795166057
GH_A01G0180	A01	1583466	0.431133603949375
GH_A01G0218	A01	1915067	0.541706288920613
GH_A01G0240	A01	2119604	0.70680010024955
GH_A01G0248	A01	2197981	0.658745748132214
GH_A01G0249	A01	2202841	0.622613664538199
GH_A01G0299	A01	2621999	0.749508278168699
GH_A01G0304	A01	2656626	0.779542200031583
GH_A01G0307	A01	2674730	0.704196616200155
GH_A01G0321	A01	2802353	0.649609946537842
GH_A01G0330	A01	2905180	0.311467789660279
GH_A01G0331	A01	2923465	0.660498258749015
GH_A01G0350	A01	3215916	0.556307073409404
GH_A01G0359	A01	3349470	0.223698460072213
GH_A01G0371	A01	3574654	0.653250663820855
GH_A01G0373	A01	3632922	0.719658835071346
GH_A01G0374	A01	3636321	0.206404997926435
GH_A01G0375	A01	3642034	0.307573702392132
GH_A01G0378	A01	3652748	0.137306197694249
GH_A01G0379	A01	3654583	0.196013775955606
GH_A01G0381	A01	3698763	0.483454663917682
GH_A01G0383	A01	3758102	0.30850872792761
GH_A01G0388	A01	3832039	0.436174873138236
GH_A01G0396	A01	3984633	0.723310863199716
GH_A01G0407	A01	4182681	0.698156102268678
GH_A01G0409	A01	4220595	0.766371300504896
GH_A01G0416	A01	4269259	0.678916657331263
GH_A01G0417	A01	4272290	0.730349535649223
GH_A01G0418	A01	4276733	0.76378507407787
GH_A01G0419	A01	4305004	0.698378947761209
GH_A01G0424	A01	4346175	0.697097095351365
GH_A01G0433	A01	4598484	0.689858470293525
GH_A01G0439	A01	4662155	0.737540493855031
GH_A01G0440	A01	4663479	0.782853533612348
GH_A01G0449	A01	4845048	0.424234036924904
GH_A01G0458	A01	4974944	0.147329730669377
GH_A01G0476	A01	5482944	0.0452788894149905
GH_A01G0477	A01	5506262	0.292970253378398
GH_A01G0481	A01	5546377	0.4933577167801
GH_A01G0500	A01	5754654	0.660963747524338
GH_A01G0503	A01	5844312	0.502102095047616
