gene	chr	pos	fdr
GH_A01G0070	A01	555906	0.750464621769523
GH_A01G0071	A01	559187	0.666206507251596
GH_A01G0090	A01	724885	0.492210712158581
GH_A01G0105	A01	813982	0.746130449711317
GH_A01G0109	A01	861138	0.769365642698325
GH_A01G0110	A01	864454	0.650914832920764
GH_A01G0120	A01	907655	0.544977055337057
GH_A01G0157	A01	1337162	0.407259889645132
GH_A01G0180	A01	1583466	0.547888129343002
GH_A01G0218	A01	1915067	0.525875240467128
GH_A01G0240	A01	2119604	0.71743267301135
GH_A01G0248	A01	2197981	0.673188227730524
GH_A01G0249	A01	2202841	0.688405697391949
GH_A01G0303	A01	2646319	0.521207738931017
GH_A01G0304	A01	2656626	0.792280052934662
GH_A01G0307	A01	2674730	0.782201518944377
GH_A01G0328	A01	2866702	0.757105563858475
GH_A01G0330	A01	2905180	0.357730955214634
GH_A01G0331	A01	2923465	0.408305142264865
GH_A01G0333	A01	3001180	0.845326112497021
GH_A01G0347	A01	3150752	0.645096292424322
GH_A01G0350	A01	3215916	0.506162594399408
GH_A01G0371	A01	3574654	0.760178531888753
GH_A01G0374	A01	3636321	0.20535614506829
GH_A01G0375	A01	3642034	0.213906144134743
GH_A01G0378	A01	3652748	0.119525712843418
GH_A01G0379	A01	3654583	0.269512445295393
GH_A01G0381	A01	3698763	0.828329448859931
GH_A01G0383	A01	3758102	0.603286413647231
GH_A01G0387	A01	3797701	0.469565057834003
GH_A01G0388	A01	3832039	0.409839994859333
GH_A01G0391	A01	3947343	0.803590057306014
GH_A01G0396	A01	3984633	0.743498832087794
GH_A01G0407	A01	4182681	0.747655276278016
GH_A01G0409	A01	4220595	0.784149967486221
GH_A01G0416	A01	4269259	0.823659676420258
GH_A01G0417	A01	4272290	0.83733146357115
GH_A01G0418	A01	4276733	0.878358235814983
GH_A01G0419	A01	4305004	0.864668659743466
GH_A01G0433	A01	4598484	0.746621860481962
GH_A01G0439	A01	4662155	0.718071107942862
GH_A01G0440	A01	4663479	0.33735621243255
GH_A01G0449	A01	4845048	0.518614977191454
GH_A01G0458	A01	4974944	0.28723281029166
GH_A01G0461	A01	5032462	0.346904202845516
GH_A01G0481	A01	5546377	0.510174529658407
